name,facility_type,address,city,state,zip_code,phone,fax,email,website,administrator,director,medical_director,beds,capacity,license_number,medicare_provider_id,medicaid_certified,services_offered,specialties,amenities,care_levels,description,hours,visiting_hours,parking_info,source_url,scraped_at
Memory Care,Skilled Nursing,7714,6301 E. 125th St.,Grandview,64030,(816) 765-7714,,,,,,,,,ious,,,[],[],[],[],,,,,https://lcca.com/locations/mo/grandview/memory-care,2025-07-26T00:03:53.673140
Location Search,Skilled Nursing,"621 West 21st St., Andover, KS, 67002, US",,,,(316) 733-1349,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/,2025-07-26T00:03:55.360746
Hawaii Locations,Skilled Nursing,"1333 Waianuenue Ave.,Hilo,HI96720",,,,(808) 961-6644,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/hi/,2025-07-26T00:03:56.830513
Memory Care,Skilled Nursing,5100,622 N. Edgemoor St.,Wichita,67208,(316) 686-5100,,,,,,,,,ious,,,[],[],[],[],,,,,https://lcca.com/locations/ks/wichita/memory-care,2025-07-26T00:03:58.332797
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/blog/,2025-07-26T00:03:59.779990
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/skilled-nursing,2025-07-26T00:04:01.212759
Life Care Center of Burlington,Skilled Nursing,2117,601 Cross St.,Burlington,66839,(620) 364-2117,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/burlington,2025-07-26T00:04:02.727759
Memory Care,Skilled Nursing,2117,601 Cross St.,Burlington,66839,(620) 364-2117,,,,,,,,,ious,,,[],[],[],[],,,,,https://lcca.com/locations/ks/burlington/memory-care,2025-07-26T00:04:04.194893
Texas Locations,Skilled Nursing,"1101 S. Alameda St.,Corpus Christi,TX78404",,,,(361) 882-2711,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/tx/,2025-07-26T00:04:05.650527
Pennsylvania Locations,Skilled Nursing,"3180 Horseshoe Pike,Honey Brook,PA19344",,,,(610) 273-9301,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/pa/,2025-07-26T00:04:07.099882
Schedule a Tour,Skilled Nursing,"7541 Switzer Road,Overland Park,KS66214",,,,(913) 631-2273,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gt-overland-park/schedule-tour,2025-07-26T00:04:08.564897
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/gallery,2025-07-26T00:04:10.019916
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/skilled-nursing,2025-07-26T00:04:11.481289
Kansas Locations,Skilled Nursing,"621 West 21st St.,Andover,KS67002",,,,(316) 733-1349,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/,2025-07-26T00:04:12.935563
Colorado Locations,Skilled Nursing,"3407 Carroll Street,Alamosa,CO81101",,,,(719) 587-3514,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/co/,2025-07-26T00:04:14.414650
Independent & Assisted Living,Skilled Nursing,40 independent and assisted living communities in 20 states. We are dedicated to creating an enriching lifestyle for our residents and a rewarding work environment for our valued associates.,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/services/senior-living,2025-07-26T00:04:15.844184
Skilled Nursing,Skilled Nursing,7 easy admissions,,,,(816) 765-7714,,,,,,,,,d,,,[],[],[],[],,,,,https://lcca.com/locations/mo/grandview/skilled-nursing,2025-07-26T00:04:17.331326
Ohio Locations,Skilled Nursing,"1210 South Abbe Road,Elyria,OH44035",,,,(423) 485-9405,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/oh/,2025-07-26T00:04:18.746516
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gallery,2025-07-26T00:04:20.212841
Rhode Island Locations,Skilled Nursing,"2 Cherry Hill Road,Johnston,RI02919",,,,(401) 231-3102,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ri/,2025-07-26T00:04:21.682804
Care & Services,Skilled Nursing,"7 skilled nursing care, residents benefit from a secure environment, personalized attention, and compassionate staff trained in dementia care. These facilities combine medical expertise with structured routines and engaging activities to promote cognitive stimulation and emotional well-being. Memory care services often include assistance with daily living, medication management, and therapies tailored to individual needs, helping residents maintain their quality of life. Whether for short-term respite or long-term support, skilled nursing facilities with dedicated memory care offer peace of mind for families and essential care for their loved ones.",,,,(316) 733-1349,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/andover/services,2025-07-26T00:04:23.154139
Tennessee Locations,Skilled Nursing,"1234 Frye St.,Athens,TN37303",,,,(423) 745-8181,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/tn/,2025-07-26T00:04:24.614023
Photo Gallery,Skilled Nursing,2117,,,,(620) 364-2117,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/burlington/gallery,2025-07-26T00:04:26.151783
Nebraska Locations,Skilled Nursing,"20275 Hopper St.,Elkhorn,NE68022",,,,(402) 289-2572,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ne/,2025-07-26T00:04:27.669422
Schedule a Tour,Skilled Nursing,"3231 N. 61st St.,Kansas City,KS66104",,,,(913) 299-1770,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/kansas-city/schedule-tour,2025-07-26T00:04:29.129668
Memory Care,Skilled Nursing,2273,7541 Switzer Road,Overland Park,66214,(913) 631-2273,,,,,,,,,ious,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gt-overland-park/memory-care,2025-07-26T00:04:30.598520
Care & Services,Skilled Nursing,"7 skilled nursing care, residents benefit from a secure environment, personalized attention, and compassionate staff trained in dementia care. These facilities combine medical expertise with structured routines and engaging activities to promote cognitive stimulation and emotional well-being. Memory care services often include assistance with daily living, medication management, and therapies tailored to individual needs, helping residents maintain their quality of life. Whether for short-term respite or long-term support, skilled nursing facilities with dedicated memory care offer peace of mind for families and essential care for their loved ones.",,,,(620) 364-2117,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/burlington/services,2025-07-26T00:04:32.062099
Rehabilitation,Skilled Nursing,2273,7541 Switzer Road,Overland Park,66214,(913) 631-2273,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gt-overland-park/rehabilitation,2025-07-26T00:04:33.524112
Jobs at Life Care Center of Andover,Skilled Nursing,621 West 21st St,,,,(316) 733-1349,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/andover/careers,2025-07-26T00:04:34.980308
New Mexico Locations,Skilled Nursing,"1101 W. Murray Drive,Farmington,NM87401",,,,(505) 326-1600,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/nm/,2025-07-26T00:04:36.419284
Life Care Center of Wichita,Skilled Nursing,5100,,,,(316) 686-5100,,,,,,,,,hia,,,[],[],[],[],,,,,https://lcca.com/locations/ks/wichita,2025-07-26T00:04:37.899405
Rehabilitation,Skilled Nursing,5100,622 N. Edgemoor St.,Wichita,67208,(316) 686-5100,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/wichita/rehabilitation,2025-07-26T00:04:39.375528
Contact Us,Skilled Nursing,"7541 Switzer Road,Overland Park,KS66214",,,,(913) 631-2273,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gt-overland-park/contact,2025-07-26T00:04:41.641383
Skilled Nursing,Skilled Nursing,7 easy admissions,,,,(316) 686-5100,,,,,,,,,d,,,[],[],[],[],,,,,https://lcca.com/locations/ks/wichita/skilled-nursing,2025-07-26T00:04:43.158531
Life Care Center of Seneca,Skilled Nursing,Life Care Center of Seneca,,,,(785) 336-3528,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/seneca,2025-07-26T00:04:44.712092
Life Care Center of Grandview,Skilled Nursing,7714,,,,(816) 765-7714,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/grandview,2025-07-26T00:04:46.201941
Jobs at Life Care Center of Kansas City,Healthcare Facility,3231 N. 61st St,,,,(913) 299-1770,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/kansas-city/careers,2025-07-26T00:04:47.657851
Nevada Locations,Skilled Nursing,"6151 Vegas Drive,Las Vegas,NV89108",,,,(702) 648-4900,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/nv/,2025-07-26T00:04:49.072378
Missouri Locations,Skilled Nursing,"12145 Bridgeton Square Drive,Bridgeton,MO63044",,,,(314) 298-7444,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/,2025-07-26T00:04:50.595474
Skilled Nursing,Skilled Nursing,7 easy admissions,,,,(913) 631-2273,,,,,,,,,d,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gt-overland-park/skilled-nursing,2025-07-26T00:04:52.087762
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/blog/,2025-07-26T00:04:53.525738
Michigan Locations,Skilled Nursing,"320 Brigham St.,Plainwell,MI49080",,,,(269) 685-9805,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mi/,2025-07-26T00:04:54.961570
Virginia Locations,Skilled Nursing,"315 E. Lee Highway,New Market,VA22844",,,,(540) 740-8041,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/va/,2025-07-26T00:04:56.371127
Care & Services,Skilled Nursing,1770,3231 N. 61st St.,Kansas City,66104,(913) 299-1770,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/kansas-city/services,2025-07-26T00:04:57.851918
Florida Locations,Skilled Nursing,"989 Orienta Ave.,Altamonte Springs,FL32701",,,,(407) 831-3446,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/fl/,2025-07-26T00:04:59.308616
Skilled Nursing,Skilled Nursing,7 easy admissions,,,,(620) 364-2117,,,,,,,,,d,,,[],[],[],[],,,,,https://lcca.com/locations/ks/burlington/skilled-nursing,2025-07-26T00:05:00.822512
Jobs at Garden Terrace at Overland Park,Skilled Nursing,7541 Switzer Road,,,,(913) 631-2273,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gt-overland-park/careers,2025-07-26T00:05:02.287912
South Carolina Locations,Skilled Nursing,"2600 Elms Plantation Blvd.,North Charleston,SC29406",,,,(843) 764-3500,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/sc/,2025-07-26T00:05:03.728402
Care & Services,Skilled Nursing,"7 skilled nursing care, residents benefit from a secure environment, personalized attention, and compassionate staff trained in dementia care. These facilities combine medical expertise with structured routines and engaging activities to promote cognitive stimulation and emotional well-being. Memory care services often include assistance with daily living, medication management, and therapies tailored to individual needs, helping residents maintain their quality of life. Whether for short-term respite or long-term support, skilled nursing facilities with dedicated memory care offer peace of mind for families and essential care for their loved ones.",,,,(816) 765-7714,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/grandview/services,2025-07-26T00:05:05.197646
Contact Us,Skilled Nursing,"601 Cross St.,Burlington,KS66839",,,,(620) 364-2117,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/burlington/contact,2025-07-26T00:05:07.362957
Video Tour & Photo Gallery,Skilled Nursing,1770,3231 N. 61st St.,Kansas City,66104,(913) 299-1770,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/kansas-city/gallery,2025-07-26T00:05:08.869729
Stories of Passion & Care,Skilled Nursing,2025,,,,(913) 299-1770,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/kansas-city/blog/,2025-07-26T00:05:10.272759
Arizona Locations,Skilled Nursing,"1750 W. Frye Road,Chandler,AZ85224",,,,(480) 899-0641,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/az/,2025-07-26T00:05:11.684942
Contact Us,Skilled Nursing,"6301 E. 125th St.,Grandview,MO64030",,,,(816) 765-7714,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/grandview/contact,2025-07-26T00:05:13.877826
Stories of Passion & Care,Skilled Nursing,2025,,,,(316) 733-1349,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/andover/blog/,2025-07-26T00:05:15.305858
Georgia Locations,Skilled Nursing,"804 S. Broad St.,Thomasville,GA31792",,,,(229) 226-0076,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ga/,2025-07-26T00:05:16.735977
Jobs at Life Care Center of Burlington,Skilled Nursing,601 Cross St,,,,(620) 364-2117,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/burlington/careers,2025-07-26T00:05:18.207826
Rehabilitation,Skilled Nursing,1349,621 West 21st St.,Andover,67002,(316) 733-1349,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/andover/rehabilitation,2025-07-26T00:05:19.708372
Skilled Nursing,Skilled Nursing,7 easy admissions,,,,(316) 733-1349,,,,,,,,,d,,,[],[],[],[],,,,,https://lcca.com/locations/ks/andover/skilled-nursing,2025-07-26T00:05:21.183380
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/contact,2025-07-26T00:05:22.599311
Care & Services,Skilled Nursing,"7 skilled nursing care, residents benefit from a secure environment, personalized attention, and compassionate staff trained in dementia care. These facilities combine medical expertise with structured routines and engaging activities to promote cognitive stimulation and emotional well-being. Memory care services often include assistance with daily living, medication management, and therapies tailored to individual needs, helping residents maintain their quality of life. Whether for short-term respite or long-term support, skilled nursing facilities with dedicated memory care offer peace of mind for families and essential care for their loved ones.",,,,(913) 631-2273,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gt-overland-park/services,2025-07-26T00:05:24.052228
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/careers,2025-07-26T00:05:25.498538
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/cna-class,2025-07-26T00:05:26.939330
Stories of Passion & Care,Skilled Nursing,2025,,,,(913) 631-2273,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gt-overland-park/blog/,2025-07-26T00:05:28.370950
Stories of Passion & Care,Skilled Nursing,2025,,,,(316) 686-5100,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/wichita/blog/,2025-07-26T00:05:29.781657
Care & Services,Skilled Nursing,"7 skilled nursing care, residents benefit from a secure environment, personalized attention, and compassionate staff trained in dementia care. These facilities combine medical expertise with structured routines and engaging activities to promote cognitive stimulation and emotional well-being. Memory care services often include assistance with daily living, medication management, and therapies tailored to individual needs, helping residents maintain their quality of life. Whether for short-term respite or long-term support, skilled nursing facilities with dedicated memory care offer peace of mind for families and essential care for their loved ones.",,,,(316) 686-5100,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/wichita/services,2025-07-26T00:05:31.242957
Search by State,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/state,2025-07-26T00:05:32.664017
Video Tour & Photo Gallery,Skilled Nursing,5100,622 N. Edgemoor St.,Wichita,67208,(316) 686-5100,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/wichita/gallery,2025-07-26T00:05:34.168273
Stories of Passion & Care,Skilled Nursing,2025,,,,(620) 364-2117,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/burlington/blog/,2025-07-26T00:05:35.603098
Contact Us,Skilled Nursing,"621 West 21st St.,Andover,KS67002",,,,(316) 733-1349,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/andover/contact,2025-07-26T00:05:37.833568
Washington Locations,Skilled Nursing,"3600 E. Hartson Ave.,Spokane,WA99202",,,,(509) 535-2071,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/wa/,2025-07-26T00:05:39.269796
Rehabilitation,Skilled Nursing,7714,6301 E. 125th St.,Grandview,64030,(816) 765-7714,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/grandview/rehabilitation,2025-07-26T00:05:40.850443
Schedule a Tour,Skilled Nursing,"621 West 21st St.,Andover,KS67002",,,,(316) 733-1349,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/andover/schedule-tour,2025-07-26T00:05:42.302153
Indiana Locations,Skilled Nursing,"1649 Spy Run Ave.,Fort Wayne,IN46805",,,,(260) 422-8520,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/in/,2025-07-26T00:05:43.721493
Wyoming Locations,Skilled Nursing,"4041 S. Poplar St.,Casper,WY82601",,,,(307) 266-0000,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/wy/,2025-07-26T00:05:45.143620
Schedule a Tour,Skilled Nursing,"601 Cross St.,Burlington,KS66839",,,,(620) 364-2117,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/burlington/schedule-tour,2025-07-26T00:05:46.596034
Oregon Locations,Skilled Nursing,"950 North Cascade Drive,Woodburn,OR97071",,,,(503) 981-0033,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/or/,2025-07-26T00:05:47.989296
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/services,2025-07-26T00:05:49.427627
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/contact,2025-07-26T00:05:50.853053
Video Tour & Photo Gallery,Skilled Nursing,2273,7541 Switzer Road,Overland Park,66214,(913) 631-2273,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gt-overland-park/gallery,2025-07-26T00:05:52.355731
Video Tour & Photo Gallery,Skilled Nursing,7714,6301 E. 125th St.,Grandview,64030,(816) 765-7714,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/grandview/gallery,2025-07-26T00:05:53.858260
Thank you for your interest!,Skilled Nursing,3570 Keith St,,,,(423) 472-9585,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/mo/rehabilitation,2025-07-26T00:05:55.422761
Memory Care,Skilled Nursing,1349,621 West 21st St.,Andover,67002,(316) 733-1349,,,,,,,,,ious,,,[],[],[],[],,,,,https://lcca.com/locations/ks/andover/memory-care,2025-07-26T00:05:56.895620
Garden Terrace at Overland Park,Skilled Nursing,2273,7541 Switzer Road,Overland Park,66214,(913) 631-2273,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/gt-overland-park,2025-07-26T00:05:58.375851
Contact Us,Skilled Nursing,"3231 N. 61st St.,Kansas City,KS66104",,,,(913) 299-1770,,,,,,,,,ations,,,[],[],[],[],,,,,https://lcca.com/locations/ks/kansas-city/contact,2025-07-26T00:06:00.599788
